Trip #,Date,Day,Pickup Time,Duration(Minutes),Distance(Miles),Total,$/Minute,$/Mile
121,5/16/2019,Thursday,0439,12,3.34,4.14,0.345,1.239520958
122,5/16/2019,Thursday,0454,14,8.08,7.22,0.515714286,0.893564356
123,5/16/2019,Thursday,0533,12,9.1,7.49,0.624166667,0.823076923
124,5/16/2019,Thursday,0535,23,21.43,16.63,0.723043478,0.776014932
125,5/16/2019,Thursday,0625,16,9.36,12.24,0.765,1.307692308
126,5/16/2019,Thursday,0718,21,8.06,8.22,0.391428571,1.019851117
127,5/16/2019,Thursday,0747,16,6.98,6.87,0.429375,0.984240688
128,5/16/2019,Thursday,0817,8,2.09,3.00,0.375,1.435406699
129,5/16/2019,Thursday,0833,18,3.81,6.85,0.380555556,1.797900262
130,5/16/2019,Thursday,0906,15,11.3,9.34,0.622666667,0.826548673
131,5/16/2019,Thursday,0934,19,12.65,13.69,0.720526316,1.082213439
132,5/16/2019,Thursday,0958,11,3.01,3.80,0.345454545,1.262458472
133,5/16/2019,Thursday,1936,16,11.59,10.66,0.66625,0.919758412
134,5/16/2019,Thursday,2006,10,2.22,3.23,0.323,1.454954955
135,5/16/2019,Thursday,2026,9,1.62,8.01,0.89,4.944444444
136,5/16/2019,Thursday,2039,5,1.48,3.33,0.666,2.25
137,5/16/2019,Thursday,2054,3,0.73,3.01,1.003333333,4.123287671
138,5/17/2019,Friday,0048,22,17.91,14.34,0.651818182,0.800670017
139,5/17/2019,Friday,0113,7,3.63,3.58,0.511428571,0.986225895
140,5/17/2019,Friday,0154,13,7.08,13.96,1.073846154,1.971751412
141,5/17/2019,Friday,0222,18,8.31,10.97,0.609444444,1.32009627
142,5/17/2019,Friday,0309,12,10.57,8.41,0.700833333,0.795648061
143,5/17/2019,Friday,0323,5,2.96,3.57,0.714,1.206081081
144,5/17/2019,Friday,0355,9,4.08,9.21,1.023333333,2.257352941
145,5/17/2019,Friday,0400,16,13.12,18.20,1.1375,1.387195122
146,5/17/2019,Friday,0505,22,21.26,21.49,0.976818182,1.010818438
147,5/17/2019,Friday,0535,17,12.01,14.75,0.867647059,1.228143214
149,5/17/2019,Friday,0657,8,4.53,6.20,0.775,1.368653422
150,5/17/2019,Friday,0708,20,14,11.64,0.582,0.831428571
151,5/17/2019,Friday,0737,5,1.28,4.00,0.8,3.125
152,5/17/2019,Friday,0745,22,18.94,22.04,1.001818182,1.163674762
153,5/17/2019,Friday,0842,25,17.6,17.81,0.7124,1.011931818
154,5/17/2019,Friday,1206,8,1.82,4.01,0.50125,2.203296703
155,5/17/2019,Friday,1225,23,17.67,14.15,0.615217391,0.800792303
156,5/17/2019,Friday,1929,13,7.53,9.83,0.756153846,1.305444887
157,5/17/2019,Friday,1953,5,2.23,4.01,0.802,1.798206278
158,5/17/2019,Friday,2004,9,3.77,4.13,0.458888889,1.095490716
159,5/17/2019,Friday,2020,15,7.44,10.05,0.67,1.350806452
160,5/17/2019,Friday,2049,8,2.59,6.11,0.76375,2.359073359
161,5/17/2019,Friday,2106,3,0.99,3.00,1,3.03030303
162,5/17/2019,Friday,2122,8,2.68,3.14,0.3925,1.171641791
163,5/17/2019,Friday,2142,21,14.81,15.72,0.748571429,1.06144497
164,5/17/2019,Friday,2232,12,7.43,12.56,1.046666667,1.690444145
165,5/17/2019,Friday,2258,47,38.99,30.28,0.644255319,0.776609387
166,5/18/2019,Saturday,0009,15,8.36,9.53,0.635333333,1.139952153
167,5/18/2019,Saturday,0041,15,10.9,9.57,0.638,0.877981651
168,5/18/2019,Saturday,0110,7,2.6,6.80,0.971428571,2.615384615
169,5/18/2019,Saturday,0111,6,2.36,12.53,2.088333333,5.309322034
170,5/18/2019,Saturday,0138,3,0.47,15.01,5.003333333,31.93617021
171,5/18/2019,Saturday,0153,6,2.27,7.76,1.293333333,3.418502203
172,5/18/2019,Saturday,0214,14,7.28,10.78,0.77,1.480769231
173,5/18/2019,Saturday,0245,3,0.86,6.00,2,6.976744186
174,5/18/2019,Saturday,0251,7,2.2,13.01,1.858571429,5.913636364
175,5/18/2019,Saturday,0304,16,12.57,13.75,0.859375,1.093874304
176,5/18/2019,Saturday,0342,7,2.62,3.05,0.435714286,1.164122137
177,5/18/2019,Saturday,0416,10,3.81,4.12,0.412,1.081364829
178,5/18/2019,Saturday,0456,3,1.05,6.01,2.003333333,5.723809524
179,5/18/2019,Saturday,0527,14,9.29,9.19,0.656428571,0.989235737
180,5/18/2019,Saturday,0554,19,13.35,11.11,0.584736842,0.832209738
181,5/18/2019,Saturday,1835,8,3.69,3.78,0.4725,1.024390244
182,5/18/2019,Saturday,1856,7,3.64,3.63,0.518571429,0.997252747
183,5/18/2019,Saturday,1927,20,9.41,8.89,0.4445,0.944739639
184,5/18/2019,Saturday,2004,24,11.98,11.02,0.459166667,0.919866444
185,5/18/2019,Saturday,2022,16,12.39,10.01,0.625625,0.807909605
186,5/18/2019,Saturday,2117,18,9.52,11.72,0.651111111,1.231092437
187,5/18/2019,Saturday,2150,13,4.67,5.04,0.387692308,1.079229122
188,5/18/2019,Saturday,2208,7,1.62,3.08,0.44,1.901234568
189,5/18/2019,Saturday,2223,7,1.31,3.22,0.46,2.458015267
190,5/18/2019,Saturday,2236,2,0.5,3.36,1.68,6.72
191,5/18/2019,Saturday,2250,19,9.06,8.59,0.452105263,0.94812362
192,5/18/2019,Saturday,2331,9,2.73,3.71,0.412222222,1.358974359
193,5/19/2019,Sunday,0320,18,17.71,16.41,0.911666667,0.926595144
194,5/19/2019,Sunday,0402,8,1.27,4.01,0.50125,3.157480315
195,5/19/2019,Sunday,0421,8,3.75,3.80,0.475,1.013333333
196,5/19/2019,Sunday,0435,17,8.93,10.64,0.625882353,1.191489362
197,5/19/2019,Sunday,0513,14,11.49,11.43,0.816428571,0.994778068
198,5/20/2019,Monday,0334,18,15.95,12.38,0.687777778,0.776175549
199,5/20/2019,Monday,0423,11,7.01,7.10,0.645454545,1.012838802
200,5/20/2019,Monday,0435,15,13.18,10.41,0.694,0.78983308
